season,round_name,team1,team2,winner
2013,R64,Miami FL,Pacific,Miami FL
2013,R64,Michigan,South Dakota St.,Michigan
2013,R64,Michigan St.,Valparaiso,Michigan St.
2013,R64,New Mexico,Harvard,Harvard
2013,R64,North Carolina,Villanova,North Carolina
2013,R64,North Carolina St.,Temple,Temple
2013,R64,Notre Dame,Iowa St.,Iowa St.
2013,R64,Ohio St.,Iona,Ohio St.
2013,R64,Oklahoma St.,Oregon,Oregon
2013,R64,Pittsburgh,Wichita St.,Wichita St.
2013,R64,Saint Louis,New Mexico St.,Saint Louis
2013,R64,San Diego St.,Oklahoma,San Diego St.
2013,R64,Syracuse,Montana,Syracuse
2013,R64,UCLA,Minnesota,Minnesota
2013,R64,UNLV,California,California
2013,R64,VCU,Akron,VCU
2013,R64,Wisconsin,Mississippi,Mississippi
2013,R32,Arizona,Harvard,Arizona
2013,R32,Butler,Marquette,Marquette
2013,R32,California,Syracuse,Syracuse
2013,R32,Creighton,Duke,Duke
2013,R32,Gonzaga,Wichita St.,Wichita St.
2013,R32,Illinois,Miami FL,Miami FL
2013,R32,Indiana,Temple,Indiana
2013,R32,Iowa St.,Ohio St.,Ohio St.
2013,R32,Kansas,North Carolina,Kansas
2013,R32,Louisville,Colorado St.,Louisville
2013,R32,Memphis,Michigan St.,Michigan St.
2013,R32,Minnesota,Florida,Florida
2013,R32,Mississippi,La Salle,La Salle
2013,R32,Oregon,Saint Louis,Oregon
2013,R32,San Diego St.,Florida Gulf Coast,Florida Gulf Coast
2013,R32,VCU,Michigan,Michigan
2013,S16,Arizona,Ohio St.,Ohio St.
2013,S16,Florida,Florida Gulf Coast,Florida
2013,S16,Indiana,Syracuse,Syracuse
2013,S16,Kansas,Michigan,Michigan
2013,S16,Louisville,Oregon,Louisville
2013,S16,Marquette,Miami FL,Marquette
2013,S16,Michigan St.,Duke,Duke
2013,S16,Wichita St.,La Salle,Wichita St.
2013,E8,Louisville,Duke,Louisville
2013,E8,Michigan,Florida,Michigan
2013,E8,Syracuse,Marquette,Syracuse
2013,E8,Wichita St.,Ohio St.,Wichita St.
2013,F4,Louisville,Wichita St.,Louisville
2013,F4,Michigan,Syracuse,Michigan
2013,Final,Louisville,Michigan,Louisville
2014,R64,Arizona,Weber St.,Arizona
2014,R64,Baylor,Nebraska,Baylor
2014,R64,Cincinnati,Harvard,Harvard
2014,R64,Colorado,Pittsburgh,Pittsburgh
2014,R64,Connecticut,Saint Joseph's,Connecticut
2014,R64,Creighton,Louisiana Lafayette,Creighton
2014,R64,Duke,Mercer,Mercer
2014,R64,Florida,Albany,Florida
2014,R64,Gonzaga,Oklahoma St.,Gonzaga
2014,R64,Iowa St.,North Carolina Central,Iowa St.
2014,R64,Kansas,Eastern Kentucky,Kansas
2014,R64,Kentucky,Kansas St.,Kentucky
2014,R64,Louisville,Manhattan,Louisville
2014,R64,Massachusetts,Tennessee,Tennessee
2014,R64,Memphis,George Washington,Memphis
2014,R64,Michigan,Wofford,Michigan
2014,R64,Michigan St.,Delaware,Michigan St.
2014,R64,New Mexico,Stanford,Stanford
2014,R64,North Carolina,Providence,North Carolina
2014,R64,Ohio St.,Dayton,Dayton
2014,R64,Oklahoma,North Dakota St.,North Dakota St.
2014,R64,Oregon,BYU,Oregon
2014,R64,Saint Louis,North Carolina St.,Saint Louis
2014,R64,San Diego St.,New Mexico St.,San Diego St.
2014,R64,Syracuse,Western Michigan,Syracuse
2014,R64,Texas,Arizona St.,Texas
2014,R64,UCLA,Tulsa,UCLA
2014,R64,VCU,Stephen F. Austin,Stephen F. Austin
2014,R64,Villanova,Milwaukee,Villanova
2014,R64,Virginia,Coastal Carolina,Virginia
2014,R64,Wichita St.,Cal Poly,Wichita St.
2014,R64,Wisconsin,American,Wisconsin
